index,time,SWE_monthly,Seasonal_Year,SWE_1mo,month,Gringorten_p,SWEI,station_id,lon,lat,Elevation_Category
167,2001-05-01,3877.937508,2000,3877.937508,5,0.35267452402538535,-0.3781097736434439,1,-116.138,51.3346,2000_2500m
168,2001-10-01,262.00048828,2001,262.00048828,10,0.42067089755213055,-0.20017745949905705,1,-116.138,51.3346,2000_2500m
169,2001-11-01,1092.375,2001,1092.375,11,0.3300090661831369,-0.43988813139096555,1,-116.138,51.3346,2000_2500m
170,2001-12-01,2516.875,2001,2516.875,12,0.5339981867633726,0.08532423319968174,1,-116.138,51.3346,2000_2500m
171,2002-01-01,3933.375,2001,3933.375,1,0.556663644605621,0.14251565992903922,1,-116.138,51.3346,2000_2500m
172,2002-02-01,4871.75,2001,4871.75,2,0.5339981867633726,0.08532423319968174,1,-116.138,51.3346,2000_2500m
173,2002-03-01,6912.375,2001,6912.375,3,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
174,2002-04-01,6876.80273,2001,6876.80273,4,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
175,2002-05-01,6329.941415,2001,6329.941415,5,0.7606527651858569,0.7084039025865259,1,-116.138,51.3346,2000_2500m
176,2002-10-01,428.699707,2002,428.699707,10,0.6019945602901179,0.2585131786442004,1,-116.138,51.3346,2000_2500m
177,2002-11-01,711.875,2002,711.875,11,0.1486854034451496,-1.0420881611080302,1,-116.138,51.3346,2000_2500m
178,2002-12-01,1129.125,2002,1129.125,12,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
179,2003-01-01,1947.625,2002,1947.625,1,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
180,2003-02-01,2820.5,2002,2820.5,2,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
181,2003-03-01,4210.125,2002,4210.125,3,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
182,2003-04-01,4307.39453,2002,4307.39453,4,0.17135086128739802,-0.9488405343440052,1,-116.138,51.3346,2000_2500m
183,2003-05-01,3591.357428,2002,3591.357428,5,0.30734360834088853,-0.5033941031815273,1,-116.138,51.3346,2000_2500m
184,2003-10-01,148.0159914,2003,148.0159914,10,0.1486854034451496,-1.0420881611080302,1,-116.138,51.3346,2000_2500m
185,2003-11-01,1225.25,2003,1225.25,11,0.46600181323662737,-0.08532423319968174,1,-116.138,51.3346,2000_2500m
186,2003-12-01,2600.625,2003,2600.625,12,0.6246600181323663,0.31774290398788213,1,-116.138,51.3346,2000_2500m
187,2004-01-01,3551.5,2003,3551.5,1,0.37533998186763373,-0.31774290398788213,1,-116.138,51.3346,2000_2500m
188,2004-02-01,4670.625,2003,4670.625,2,0.5113327289211242,0.028410760338111435,1,-116.138,51.3346,2000_2500m
189,2004-03-01,6047.875,2003,6047.875,3,0.5113327289211242,0.028410760338111435,1,-116.138,51.3346,2000_2500m
190,2004-04-01,5645.75,2003,5645.75,4,0.35267452402538535,-0.3781097736434439,1,-116.138,51.3346,2000_2500m
191,2004-05-01,4453.1943360000005,2003,4453.1943360000005,5,0.3980054397098821,-0.2585131786442004,1,-116.138,51.3346,2000_2500m
192,2004-10-01,292.5737304883,2004,292.5737304883,10,0.443336355394379,-0.14251565992903922,1,-116.138,51.3346,2000_2500m
193,2004-11-01,842.375,2004,842.375,11,0.21668177697189486,-0.783448893414017,1,-116.138,51.3346,2000_2500m
194,2004-12-01,1886.75,2004,1886.75,12,0.21668177697189486,-0.783448893414017,1,-116.138,51.3346,2000_2500m
195,2005-01-01,3243.125,2004,3243.125,1,0.23934723481414327,-0.7084039025865253,1,-116.138,51.3346,2000_2500m
196,2005-02-01,3963.5,2004,3963.5,2,0.2620126926563917,-0.6371526981050464,1,-116.138,51.3346,2000_2500m
197,2005-03-01,4614.75,2004,4614.75,3,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
198,2005-04-01,4239.61817,2004,4239.61817,4,0.12601994560290117,-1.145408711817518,1,-116.138,51.3346,2000_2500m
199,2005-05-01,1301.7226596,2004,1301.7226596,5,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
200,2005-10-01,618.908447,2005,618.908447,10,0.8059836808703537,0.8631906779003945,1,-116.138,51.3346,2000_2500m
201,2005-11-01,1363.875,2005,1363.875,11,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
202,2005-12-01,2092.625,2005,2092.625,12,0.2620126926563917,-0.6371526981050464,1,-116.138,51.3346,2000_2500m
203,2006-01-01,2958.5,2005,2958.5,1,0.17135086128739802,-0.9488405343440052,1,-116.138,51.3346,2000_2500m
204,2006-02-01,3475.375,2005,3475.375,2,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
205,2006-03-01,4520.875,2005,4520.875,3,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
206,2006-04-01,4212.2666,2005,4212.2666,4,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
